Date,BTC_USDT_Price,ETH_USDT_Price,BTC_Amount,ETH_Amount
2024/10/4 00:48,60637,2345.98,0,0.0001
2024/10/4 00:48,60636.9,2345.99,4.091e-05,0.02738
2024/10/4 00:48,60636.9,2345.98,0.07718795,2.789394
2024/10/4 00:48,60614,2344.92,0.00021,1.192344
2024/10/4 00:48,60614,2344.69,0.00190559,0.0001
2024/10/4 00:48,60614,2344.57,1e-05,0.0001
2024/10/4 00:48,60618.5,2344.68,0.00013886,0.004197
2024/10/4 00:48,60618.5,2344.68,0,0
2024/10/4 00:48,60618.9,2345,0.00227913,0.0001
2024/10/4 00:48,60625.3,2344.98,0.00849197,0.0001
2024/10/4 00:48,60625.3,2344.9,0,0.0001
2024/10/4 00:48,60625.3,2344.82,0,0.0001
2024/10/4 00:48,60618.9,2344.82,0.0016975,0
2024/10/4 00:48,60618.9,2344.82,0,0
2024/10/4 00:48,60619.2,2344.81,0.00352279,0.0001
2024/10/4 00:48,60619.5,2344.81,1e-05,0
2024/10/4 00:48,60619.6,2344.69,0.01280454,0.0001
2024/10/4 00:48,60619.6,2344.8,0.00033992,1.556624
2024/10/4 00:48,60619.6,2344.8,0,0
2024/10/4 00:48,60619.6,2344.8,0,0
2024/10/4 00:48,60619.6,2344.8,0,0
2024/10/4 00:48,60619.6,2344.91,0,0.0002
2024/10/4 00:48,60619.6,2344.91,0,0
2024/10/4 00:48,60619.6,2344.91,0,0
2024/10/4 00:48,60619.6,2344.91,0,0
2024/10/4 00:48,60619.6,2344.91,0,0
2024/10/4 00:48,60619.6,2344.91,0,0
2024/10/4 00:48,60619.6,2345.02,0,0.000102
2024/10/4 00:48,60620,2345.03,0.00280387,0.337313
2024/10/4 00:48,60625.1,2345.02,0.0369458,0.06575
2024/10/4 00:48,60619.6,2345.02,1e-05,0
2024/10/4 00:48,60619.5,2344.9,1e-05,0.00115
2024/10/4 00:49,60619.5,2344.82,0,8.721995
2024/10/4 00:49,60619.5,2344.61,0,0.0001
2024/10/4 00:49,60619.6,2344.61,9.248e-05,0
2024/10/4 00:49,60620.5,2344.68,0.00036522,22.763863
2024/10/4 00:49,60622,2344.86,0.0001649,0.0001
2024/10/4 00:49,60622,2344.86,0,0
2024/10/4 00:49,60622,2344.86,0,0
2024/10/4 00:49,60620,2344.8,0.00044238,0.0002
2024/10/4 00:49,60619.5,2344.63,0.00304652,0.0001
2024/10/4 00:49,60619.5,2344.63,1e-05,12.810349
2024/10/4 00:49,60619.5,2344.47,0.01283992,0.0051
2024/10/4 00:49,60613,2344.46,0.03276074,0.113199
2024/10/4 00:49,60606,2344.33,0.00185353,0.079687
2024/10/4 00:49,60601.5,2344.14,0.02980095,0.727724
2024/10/4 00:49,60597.9,2343.73,0.00203374,0.20468
2024/10/4 00:49,60597.9,2343.73,0,0
2024/10/4 00:49,60597.9,2343.98,0,0.194182
2024/10/4 00:49,60597.9,2343.98,0,0.198977
2024/10/4 00:49,60597.9,2343.98,0,0
2024/10/4 00:49,60597.9,2344.09,0,0.20178
2024/10/4 00:49,60597.9,2344.09,0,0
2024/10/4 00:49,60599.9,2344.08,5.084e-05,0.0001
2024/10/4 00:49,60599.9,2344.08,0,0
2024/10/4 00:49,60599.9,2344.08,0,0
2024/10/4 00:49,60599.9,2344.08,0,0
2024/10/4 00:49,60599.9,2344.08,0,0
2024/10/4 00:49,60599.8,2344.08,5.873e-05,0
2024/10/4 00:49,60599.9,2344.08,0.00031301,0
2024/10/4 00:49,60599.8,2344.08,0.02688523,0.224591
